2018,2019,2020,2021,2022
141381,146702,126152,147395,198039
240208,251901,213550,244249,264809
84607,90543,78675,95061,106420
73981,78673,68306,81746,91443
516398,574177,539201,642174,688048
135685,140564,140333,148615,153454
259710,269251,277058,288009,298691
379407,389471,357739,390696,417324
23520,23105,21689,21692,21728
376217,384562,301849,344907,380903
96137,105635,83871,97698,111693
93837,94241,87555,90117,92910
167089,178209,139079,164804,198500
876880,894320,860288,899462,919563
762124,776405,762833,787407,804555
203643,209392,191532,196698,195811
10631,11155,10551,10400,10648
160126,167189,149174,156949,165780
665072,631575,525790,545203,741290
51748,48582,44093,67725,50296
108607,107840,97335,103512,109248
47754,48859,47166,48061,47928
600337,633885,550560,618245,666074
19643,19527,14846,14658,15083
81404,86225,72677,82332,93349
223621,224557,185350,211834,222791
74259,73359,59970,68562,70218
615954,641058,581017,634532,691238
270207,284060,250809,285033,321126
101696,110260,88620,103636,119544
224070,236752,222888,246724,264325
451870,470972,410007,469424,498075
41954,40330,38155,37942,36026
−,−,−,−,−
14429,15318,12305,15082,16947
284425,336875,321529,416540,465218
348144,346239,286656,319291,336183
55685,58858,50967,59188,79380
81190,84739,73536,82461,89533
23297,25316,23134,26873,30778
18385,19955,18493,20864,23925
157424,181050,176522,214859,234450
55314,57696,57909,62026,64657
84411,87269,86598,90063,94378
140026,143209,132094,142834,152122
13618,13308,12476,12413,12555
127118,130097,101744,115463,128265
29414,32464,26016,30218,34896
31249,31453,29345,29837,30684
63435,66493,51195,60789,72321
337868,348521,335580,353373,365437
290809,300712,294719,308222,319746
85957,88950,82471,84955,86251
6384,6817,6518,6559,6649
46637,48854,43833,46294,49715
275139,260714,219387,232474,305836
25179,23831,22368,32918,24783
47594,47091,42651,46010,48077
16061,16388,15763,16322,16257
235994,249197,216688,244212,263506
9584,9495,7248,7302,7440
29430,31371,26611,29952,33744
84747,85240,70351,79585,84560
26589,26458,21197,24392,25734
241465,251610,231981,252288,274659
96529,102836,92517,105208,118924
34649,37666,30523,35330,40738
87174,91408,89759,96747,102216
130815,136573,122785,135336,141966
−,−,−,−,−
−,−,−,−,−
5901,6418,5160,6281,6848
100780,118650,112645,145349,162239
190682,187985,157308,170045,178890
85696,87844,75185,88207,118659
159018,167162,140014,161788,175276
61310,65227,55541,68188,75642
55596,58718,49813,60882,67518
358974,393127,362679,427315,453598
80371,82868,82424,86589,88797
175299,181982,190460,197946,204313
239381,246262,225645,247862,265202
9902,9797,9213,9279,9173
249099,254465,200105,229444,252638
66723,73171,57855,67480,76797
62588,62788,58210,60280,62226
103654,111716,87884,104015,126179
539012,545799,524708,546089,554126
471315,475693,468114,479185,484809
117686,120442,109061,111743,109560
4247,4338,4033,3841,3999
113489,118335,105341,110655,116065
389933,370861,306403,312729,435454
26569,24751,21725,34807,25513
61013,60749,54684,57502,61171
31693,32471,31403,31739,31671
364343,384688,333872,374033,402568
10059,10032,7598,7356,7643
51974,54854,46066,52380,59605
138874,139317,114999,132249,138231
47670,46901,38773,44170,44484
374489,389448,349036,382244,416579
173678,181224,158292,179825,202202
67047,72594,58097,68306,78806
136896,145344,133129,149977,162109
321055,334399,287222,334088,356109
41954,40330,38155,37942,36026
−,−,−,−,−
8528,8900,7145,8801,10099
183645,218225,208884,271191,302979
157462,158254,129348,149246,157293
